v2Xpath,cardinalityMin,cardinalityMax,condition,fhirattr,datatypeMap,vocabularyMap,targetDataType,dataType
//CQ.1/text(),0,1,,value,,,Quantity,decimal
//CQ.2/text(),0,1,,unit,,,,string
