v2Xpath,cardinalityMin,cardinalityMax,condition,fhirattr,datatypeMap,vocabularyMap,targetDataType,dataType
//CWE.1/text(),0,1,,duration,,,Duration,code
//CWE.2/text(),0,1,not(boolean(<parentXpath>/CWE.1)),duration,,,,code
